ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
DD,DuPont,"DOWDUPONT INC.|DUPONT DE NEMOURS, INC.|DUPONT E I DE NEMOURS & CO","DuPont de Nemours, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2017-08-31,0.7274359249077211,8,false,""
DELL,Dell,DELL TECHNOLOGIES INC.|DENALI HOLDING INC.|DELL INC,Dell Technologies Inc.,1.0,NYQ,USD,EQUITY,2016-08-17,1900-01-01,2013-10-28,,,false,""
DF,Dean Foods,DEAN FOODS CO,,,,,NONE,,1900-01-01,2013-05-22,,,false,""
DFS,Discover Financial,DISCOVER FINANCIAL SERVICES,,,,,NONE,,2007-07-02,2025-05-18,,,false,""
DISCA,"Discovery, Inc.","DISCOVERY COMMUNICATIONS, INC.|DISCOVERY, INC.|WARNER BROS. DISCOVERY, INC.",,,,,NONE,,1900-01-01,2022-04-10,,,false,""
DISCK,"Discovery, Inc.","DISCOVERY COMMUNICATIONS, INC.|DISCOVERY, INC.|WARNER BROS. DISCOVERY, INC.",,,,,NONE,,2014-08-06,2022-04-10,,,false,""
DISH,Dish Network,DISH NETWORK CORP,,,,,NONE,,2017-03-13,2023-06-19,,,false,""
DJ,Dow Jones,,738067,,YHD,,MUTUALFUND,,1900-01-01,2007-12-12,,,false,""
DNB,Dun & Bradstreet,DUN & BRADSTREET CORP/NW,,,,,,,1900-01-01,2017-04-04,,,false,no_info
DNR,Denbury Resources,DENBURY INC|DENBURY RESOURCES INC,,,,,,,1900-01-01,2015-03-22,,,false,no_info
DO,Diamond Offshore Drilling,"DIAMOND OFFSHORE DRILLING INC|DIAMOND OFFSHORE DRILLING, INC.",,,,,NONE,,1900-01-01,2016-09-29,,,false,""
DOW,Dow Chemical Company,DOW INC.|DOW CHEMICAL CO /DE/,Dow Inc.,1.0,NYQ,USD,EQUITY,2019-03-20,1900-01-01,2017-08-31,,,false,""
DPS,Dr Pepper Snapple Group,"DR PEPPER SNAPPLE GROUP, INC.|KEURIG DR PEPPER INC.",,,,,,,1900-01-01,2018-07-01,,,false,no_info
DRE,Duke Realty,DUKE REALTY CORP,,,,,NONE,,2017-07-26,2022-10-02,,,false,""
DTV,DirecTV,DIRECTV,,,,,,,1900-01-01,2015-07-28,,,false,no_info
