ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
HRL,Consumer Staples,36,0.04465214966755231,0,0.255749958814958,0.2583444777930808,0.0,0.004852035286796446,0.015671207915010785,0.04733551891851455,none of the three (rank gap under noise)
BEAM,Industrials,16,0.044566571629750196,0,0.10884412740400251,0.129051841894148,0.0,0.031980057809706135,0.2241875771287536,0.014230135822507107,interest add-back
XRX,Information Technology,29,0.044399074128410355,0,0.11340981756629678,0.11959349593495935,0.0,0.08800000781656919,0.0,0.01755185727642652,none of the three (rank gap under noise)
HON,Industrials,36,0.04413372702858709,0,0.3098414152401672,0.3076658842388504,0.0,0.007046200115242039,0.0,0.03983555075015741,none of the three (rank gap under noise)
COR,Health Care,36,0.04408063137048809,0,0.35540889192562114,0.3402740764852964,0.0,0.011268608238646532,0.0,0.038748595668535515,none of the three (rank gap under noise)
MET,Financials,36,0.04407036729570661,0,0.06582944779295892,0.06545578607054084,0.0,0.005692380177226716,0.0,0.0378465588503806,none of the three (rank gap under noise)
DOV,Industrials,36,0.0438037694471563,0,0.2312498094213932,0.2370545148618402,0.0,0.01957283068380364,0.0,0.035206780630981066,none of the three (rank gap under noise)
LRCX,Industrials,36,0.04345832500483974,0,0.03983373413635539,0.04742603006636487,0.0,0.0,0.0,0.01849199575116122,none of the three (rank gap under noise)
CME,Financials,36,0.04343240949926737,0,0.07899491575276273,0.07857473003067356,0.3888888888888889,0.0004626105113625439,0.0,0.011381162384394803,none of the three (rank gap under noise)
SLB,Energy,36,0.0433441516863379,0,0.2069292969986475,0.2173462634168801,0.0,0.01285409395545206,0.047137113544988216,0.013463895458466565,none of the three (rank gap under noise)
EXPD,Consumer Discretionary,36,0.042890002829207796,0,0.2746549640897878,0.27394265973964677,0.0,0.0025968203998141875,0.0007608272780894294,0.036318202671778814,none of the three (rank gap under noise)
IPG,Communication Services,36,0.04286764848546342,0,0.27877385772122615,0.327811286457903,0.0,0.03832753646406324,0.20227272727272727,0.035097768782175555,interest add-back
NOC,Industrials,36,0.042784118794250335,0,0.3116459953752365,0.3116459953752365,0.0,0.0,0.0,0.01674654928815719,none of the three (rank gap under noise)
HP,Energy,36,0.0426400219511885,0,0.23535344738119812,0.23954875595763023,0.0,0.00820485283612183,0.00542637649260768,0.027027203612778754,none of the three (rank gap under noise)
AIG,Financials,36,0.04244203991083874,0,0.0951205077447399,0.11388426350352672,0.0,0.008185874658056628,0.22678665960825833,0.01271619867809868,interest add-back
FFIV,Information Technology,36,0.04209060461368977,0,0.3251196028283436,0.3251196028283436,0.0,0.0,0.0,0.0387640517031656,none of the three (rank gap under noise)
FDX,Industrials,36,0.041711746183541856,0,0.17719495039632802,0.17778607831557608,0.0,0.0,0.041024113582335486,0.01854787283928724,none of the three (rank gap under noise)
BEN,Financials,36,0.04169163524241543,0,0.29433447570376636,0.2967841500657516,0.0,0.0067963196935997726,0.01401454674472237,0.03505990054561881,none of the three (rank gap under noise)
DVN,Energy,22,0.04167027931296873,0,0.09785875372907583,0.10581172457161778,0.0,0.010455944875232747,0.0,0.06255065754296732,none of the three (rank gap under noise)
FLS,Industrials,36,0.041654966827106364,0,0.4064860651236995,0.3981246581575178,1.0,,0.07883302836296834,0.04632214934820266,pretax_income (missing; operating income used)
AN,Consumer Discretionary,36,0.04165158141625554,0,0.3060704767545158,0.3055374592833876,0.0,0.0016134950328446816,0.0,0.05647381144211635,none of the three (rank gap under noise)
